A'Beckett St - Tunnel,MON to SAT,A'Beckett St Melbourne,"Bags Of Shirts, Pants & Overalls",Deliver To Change Rooms,,Price Rise,%
One Stop (On Call),on call,"99 Bell St, Preston ",Pick Up/Drop Off,,,,
Oxford Scholar,THURS,"427 Swanston St, Melbourne",150 Teatowels 150White polish cloths per week,,,,
PCI Moorabbin Airport,TUE,"2/7 Chifley Dr, Moorabbin Airport Vic 3194",Hanging Garments - Every Two Weeks,Call Beforehand - Toula - 0418680896,,,
PCI Port Melbourne,TUE,"Unit 10/9 52 Wirraway Dr,Port Melbourne",Hanging Garments,Pick Up/Drop off - Fortnightly,,,
Pier St,WED FRI,125 Pier St Altona,Folded Blue Sheets,,,,
Pullman Hotel,MON to SAT,Little Bourke St /Albian Lane,Pick Up/Drop Off,Call 0429 142 373 - Check if they need a pickup,,,
Richmond Police Station,TUE THURS,"217 Church St, Richmond",Pick Up /Drop Off Cell Blankets,,,,
Scienceworks,MON THURS,"2 Booker St, Sotswood",Pick up/Drop off tshirts and aprons via Reception,Nicole 0459 830 991 Soni 0430 882 488,,,
Seaview,MON THURS,71 Morris St Williamstown (Enter Battery Rd Gate),Pick Up Drop Off Table Linen,** Do Not Pick Up Or Deliver Before 930am **,,,
Seddon Store,,"83A Charles St, Seddon VIC 3011",Store Orders - Pickup And Drop Offs ,,,,
Sharp Welding,WED,6 Sandra Ave Norlane,"Bags Of Overalls, 2 X Roll Towel",,,,
Sims,FRI,"Cnr Shaws Rd And Tarneit Rd, Werribee",Blue Coats On Hangers,** Check CHS ***,,,
Society,MON to SAT,80 Collins Street - Little collins street ,Staff Uniforms and Aprons and Napkins,Napkins to be Delivered to Kitchen with Grey Polish Cloths,,,
Sottile'S Pizza,FRI,"12 Quarbing St, Werribee","Bags Of Aprons, 25 Tt 20 Microfibre Cloths, 1 small Mat",Use Key For Front Door Or From Milk Bar Next Door,,,
Starpharma  (Monthly) ,THURS first of the month,4/6 Southampton Cres Abbotsford,Lab Coats & Towels,First Thursday of the Month,,,
Steamatic Geelong (On Call),WED,"7 Essington St, Grovedale",Pick Up/drop off Insurance Work,Ask Phil,,,
Tasty Chips,MON to FRI,410 Somerville Rd Tottenham,"Take 2 Wheelie Bin, White Uniforms On Hanger",** Check CHS ***,,,
Techtrans,FRI fortnightly,5/395 Old Geelong Rd Hoppers Crossing,3 Roll Towel,Fortnightly,,,
The Albion Rooftop,TUE THURS,"172 York St, South Melbourne Vic 3205",Tuesday - Pick Up From Staff Room - Dirty Aprons,Thursday - Drop off to Staff Room,,,
The Butler Dry Cleaners,,"180 Camberwell Rd, Hawthorn East",Store Orders - Pickup And Drop Offs ,,,,
The Precinct Hotel,TUE THURS,"60 Swan St, Cremorne Vic 3121",Tuesday - Pick Dirty Aprons For Staff Room,Thursday - Drop off Only,,,
The Views - Werribee Golf Club,FRI,K Road South Werribee,Pickup/Drop off,,,,
Velvet Bean,FRI,"5/112 Pier St, Altona",50 Teatowels per week,,,,
Victor Churchill,TUE THURS SAT,"953 High Street, Armadale, VIC 3143",Gate Code - 9783,,,,
Victoria Hotel,MON to SAT,"215 Little Collins St, Melbourne",Hanging staff uniforms. Drop off/pick up,,,,
Voco,MON to SAT,"371 Little Lonsdale St, Melbourne.",Hanging staff uniforms. Drop off/pick up,Mert 0423745623     0438209485,,,
VRC,MON THURS,,After race meets,,,,
Westbourne Grammar School,MON FRI ON CALL,"300 Sayers Rd, Truganina",Pick up/drop off tablecloths from Reception,Andrea Cairns 9731 9427,,,
Western Imaging For Women,MON THURS,"Level 2 suite 16/1 Thomas Holmes St, Maribyrnong",Bags Of Towels,Pick Up & Deliver from level 2,,,
Williamstown Butcher,MON,3 Becroft Mews Williamstown,Bag Of Aprons,Must Wear A Hat - Pick Up Also,,,
Williamstown Police (On Call),on call,100 Nelson Parade Williamstown,Pick Up /Drop Off Cell Blankets,Call Beforehand 9393 9555,,,
Woodfrog Bakery,TUE THURS,"108A Barkly Street,St Kilda","Tuesday - 3 Small Matts, 1 Rubber Mat, tin liners/Bag Of Apron ",Thursday - Bag Of Apron/Tin Liners,,,
Wyndham Council (depot),FRI,241 Old Geelong Road Hoppers,Bag(S) Of Overalls,2 bags,,,
Urban Edge,,"Level 1/90 Maribyrnong St, Footscray ",Bags of towels. Drop off/pick up.,,,,
